strain	kingdom	phylum	class	order	family	genus	species	taxon_lineage_ids	taxon_lineage_names	NCBI_refseq_accession	NCBI_taxon_identifier	organism	full_scientific_name	plasmids	genome_length	sequencing_platform	genome_status
KCTC 12958|KMM 3549|LMG 19697|CIP 106858	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas issachenkonii	131567|2|1224|1236|135622|267888|53246|152297	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Pseudoalteromonadaceae|Pseudoalteromonas|Pseudoalteromonas issachenkonii	NZ_CP013350.1|NZ_CP013351.1	152297	Pseudoalteromonas issachenkonii	Pseudoalteromonas issachenkonii strain KCTC 12958	missing	4131541	PacBio RS II	Complete
O-BC30|IAM 14989|KCTC 12086	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas phenolica	131567|2|1224|1236|135622|267888|53246|161398	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Pseudoalteromonadaceae|Pseudoalteromonas|Pseudoalteromonas phenolica	NZ_CP013187.1|NZ_CP013188.1	161398	Pseudoalteromonas phenolica	Pseudoalteromonas phenolica strain KCTC 12086	missing	4868993	missing	Complete
M3	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio anguillarum	131567|2|1224|1236|135623|641|662|55601|42323|882944	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio anguillarum|Listonella anguillarum serovar O1|Listonella anguillarum M3	NC_022223.1|NC_022224.1|NC_022225.1	882944	Vibrio anguillarum	Vibrio anguillarum M3	1	4117885	454 GS FLX Titanium|AB 3730 Genetic Analyzer	Complete
GraBd1|DSM 2380|NBRC 103641	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Pelobacteraceae	Pelobacter	Pelobacter carbinolicus	131567|2|1224|68525|28221|69541|213423|18|19|338963	cellular organisms|Bacteria|Proteobacteria|delta/epsilon subdivisions|Deltaproteobacteria|Desulfuromonadales|Pelobacteraceae|Pelobacter|Pelobacter carbinolicus|Pelobacter carbinolicus DSM 2380	NC_007498.2	338963	Pelobacter carbinolicus	Pelobacter carbinolicus DSM 2380	0	3665893	Sanger	Complete
HTE831|DSM 14371|CIP 107618|JCM 11309|KCTC 3954	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Oceanobacillus	Oceanobacillus iheyensis	131567|2|1783272|1239|91061|1385|186817|182709|182710|221109	cellular organisms|Bacteria|Terrabacteria group|Firmicutes|Bacilli|Bacillales|Bacillaceae|Oceanobacillus|Oceanobacillus iheyensis|Oceanobacillus iheyensis HTE831	NC_004193.1	221109	Oceanobacillus iheyensis	Oceanobacillus iheyensis HTE831	0	3630528	ABI Prism 377 DNA sequencer	Complete
HTA426	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	Geobacillus kaustophilus	131567|2|1783272|1239|91061|1385|186817|129337|1462|235909	cellular organisms|Bacteria|Terrabacteria group|Firmicutes|Bacilli|Bacillales|Bacillaceae|Geobacillus|Geobacillus kaustophilus|Geobacillus kaustophilus HTA426	NC_006510.1|NC_006509.1	235909	Geobacillus kaustophilus	Geobacillus kaustophilus HTA426	1	3592666	ABI Prism 377 DNA sequencer	Complete
TE28753-12	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	Brucella ceti	131567|2|1224|28211|356|118882|234|120577|1407053	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Brucellaceae|Brucella|Brucella ceti|Brucella ceti TE28753-12	NC_022908.1|NC_022907.1	1407053	Brucella ceti	Brucella ceti TE28753-12	0	3277545	Ion Torrent	Complete
DE170	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas australica	131567|2|1224|1236|135622|72275|226|589873	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Alteromonas|Alteromonas australica	NZ_CP010912.1	589873	Alteromonas australica	Alteromonas australica DE170	missing	4457472	Illumina HiSeq 2000	Complete
TE10759-12	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	Brucella ceti	131567|2|1224|28211|356|118882|234|120577|1423891	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Brucellaceae|Brucella|Brucella ceti|Brucella ceti TE10759-12	NC_022906.1|NC_022905.1	1423891	Brucella ceti	Brucella ceti TE10759-12	0	3278034	Ion Torrent PGM	Complete
IMCC 20628	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Hoeflea	Hoeflea sp. IMCC20628	131567|2|1224|28211|356|69277|274591|1620421	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Hoeflea|Hoeflea sp. IMCC20628	NZ_CP011479.1| NZ_CP011481.1| NZ_CP011480.1	1620421	Hoeflea	Hoeflea sp. IMCC20628	2	5119813	Illumina Miseq|PacBio RS	Complete
IMCC 21906	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	Spongiibacter	Spongiibacter sp. IMCC21906	131567|2|1224|1236|1706369|1706375|630749|1620392	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Cellvibrionales|Spongiibacteraceae|Spongiibacter|Spongiibacter sp. IMCC21906	NZ_CP011477.1| NZ_CP011478.1	1620392	Spongiibacter	Spongiibacter sp. IMCC21906	1	3481669	Illumina Miseq|PacBio RS	Complete
Pc3|CCTCC M 2013470)	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. Pc3	131567|2|1783272|1239|91061|1385|186817|1386|1446792	cellular organisms|Bacteria|Terrabacteria group|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus sp. Pc3	NZ_CP010406.1	1446792	Bacillus sp.	Bacillus sp. Pc3	missing	3982168	454 GS|Illumina	Complete
TAC125	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas haloplanktis	131567|2|1224|1236|135622|267888|53246|228|326442	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Pseudoalteromonadaceae|Pseudoalteromonas|Pseudoalteromonas haloplanktis|Pseudoalteromonas haloplanktis TAC125	NC_007481.1|NC_007482.1	326442	Pseudoalteromonas haloplanktis	Pseudoalteromonas haloplanktis TAC125	0	3850272	missing	Complete
AS9601	Bacteria	Cyanobacteria	NA	Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus	131567|2|1783272|1117|1212|1217|1218|1219|146891	cellular organisms|Bacteria|Terrabacteria group|Cyanobacteria|Prochlorales|Prochlorococcaceae|Prochlorococcus|Prochlorococcus marinus|Prochlorococcus marinus str. AS9601	NC_008816.1	146891	Prochlorococcus marinus	Prochlorococcus marinus AS9601	0	1669886	AB 3730xL Genetic Analyzer	Complete
B7740	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus sp. B7740	131567|2|1783272|201174|1760|85007|85025|1827|1564114	cellular organisms|Bacteria|Terrabacteria group|Actinobacteria|Actinobacteria|Corynebacteriales|Nocardiaceae|Rhodococcus|Rhodococcus sp. B7740	NZ_CP010797.1	1564114	Rhodococcus sp.	Rhodococcus sp. B7740	missing	5341557	PacBio RS II	Complete
20041|CGMCC 1.6499|JCM 14643)	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter	Marinobacter psychrophilus	131567|2|1224|1236|135622|72275|2742|330734	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Marinobacter|Marinobacter psychrophilus	NZ_CP011494.1	330734	Marinobacter psychrophilus	Marinobacter psychrophilus strain 20041	missing	3998597	454|Illumina	Complete
WH 8020	Bacteria	Cyanobacteria	NA	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. WH 8020	131567|2|1783272|1117|1301283|1118|1129|32052	cellular organisms|Bacteria|Terrabacteria group|Cyanobacteria|Oscillatoriophycideae|Chroococcales|Synechococcus|Synechococcus sp. WH 8020	NZ_CP011941.1	32052	Synechococcus sp.	Synechococcus sp. WH 8020	missing	2661166	Illumina HiSeq	Complete
MIT 9312	Bacteria	Cyanobacteria	NA	Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus	131567|2|1783272|1117|1212|1217|1218|1219|74546	cellular organisms|Bacteria|Terrabacteria group|Cyanobacteria|Prochlorales|Prochlorococcaceae|Prochlorococcus|Prochlorococcus marinus|Prochlorococcus marinus str. MIT 9312	NC_007577.1	74546	Prochlorococcus marinus	Prochlorococcus marinus str. MIT 9312	0	1709204	missing	Complete
SEBR 4847|DSM 11571|OCM 486	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanolacinia	Methanolacinia petrolearia	131567|2157|28890|224756|2191|2194|230355|54120|679926	cellular organisms|Archaea|Euryarchaeota|Methanomicrobia|Methanomicrobiales|Methanomicrobiaceae|Methanolacinia|Methanolacinia petrolearia|Methanolacinia petrolearia DSM 11571	NC_014507.1	679926	Methanoplanus petrolearius	Methanoplanus petrolearius DSM 11571	missing	2843290	Illumina Genome Analyzer II|454 GS FLX Titanium	Complete
CH5	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus barophilus	131567|2157|28890|183968|2258|2259|2263|55802	cellular organisms|Archaea|Euryarchaeota|Thermococci|Thermococcales|Thermococcaceae|Thermococcus|Thermococcus barophilus	NZ_CP013050.1	55802	Thermococcus barophilus	Thermococcus barophilus CH5	missing	2388527	454 GS|Illumina|Sanger	Complete
SNP6|DSM 11195	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus veneficus	131567|2157|28890|183980|2231|2232|2233|58290|693661	cellular organisms|Archaea|Euryarchaeota|Archaeoglobi|Archaeoglobales|Archaeoglobaceae|Archaeoglobus|Archaeoglobus veneficus|Archaeoglobus veneficus SNP6	NC_015320.1	693661	Archaeoglobus veneficus	Archaeoglobus veneficus SNP6	missing	1901940	454 GS|Illumina	Complete
MAR08-339	Archaea	Euryarchaeota	missing	missing	missing	Aciduliprofundum	Aciduliprofundum sp. MAR08-339	131567|2157|28890|33867|379546|673860	cellular organisms|Archaea|Euryarchaeota|unclassified Euryarchaeota|Aciduliprofundum|Aciduliprofundum sp. MAR08-339	NC_019942.1	673860	Aciduliprofundum	Aciduliprofundum sp. MAR08-339	missing	1437090	454 GS FLX Titanium|Illumina Genome Analyzer II	Complete
WH 8102	Bacteria	Cyanobacteria	NA	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. WH 8102	131567|2|1783272|1117|1301283|1118|1129|84588	cellular organisms|Bacteria|Terrabacteria group|Cyanobacteria|Oscillatoriophycideae|Chroococcales|Synechococcus|Synechococcus sp. WH 8102	NC_005070.1	84588	Synechococcus	Synechococcus sp. WH 8102	0	2434428	ABI Prism 377 DNA sequencer	Complete
HAW-EB4	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella halifaxensis	131567|2|1224|1236|135622|267890|22|271098|458817	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Shewanellaceae|Shewanella|Shewanella halifaxensis|Shewanella halifaxensis HAW-EB4	NC_010334.1	458817	Shewanella halifaxensis	Shewanella halifaxensis HAW-EB4	0	5226917	missing	Complete
A3d10|JCM 19398	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter	Marinobacter similis	131567|2|1224|1236|135622|72275|2742|1420916	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Marinobacter|Marinobacter similis	NZ_CP007151.1	1420916	Marinobacter similis	Marinobacter similis A3d10	missing	3975896	Ion Torrent PGM	Complete
NBB4	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium chubuense	131567|2|1783272|201174|1760|85007|1762|1763|1800|710421	cellular organisms|Bacteria|Terrabacteria group|Actinobacteria|Actinobacteria|Corynebacteriales|Mycobacteriaceae|Mycobacterium|Mycobacterium chubuense|Mycobacterium chubuense NBB4	NC_018027.1|NC_018023.1|NC_018022.1	710421	Mycobacterium chubuense	Mycobacterium chubuense NBB4	2	6342624	454 GS|Illumina	Complete
NBB3	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium rhodesiae	131567|2|1783272|201174|1760|85007|1762|1763|36814|710685	cellular organisms|Bacteria|Terrabacteria group|Actinobacteria|Actinobacteria|Corynebacteriales|Mycobacteriaceae|Mycobacterium|Mycobacterium rhodesiae|Mycobacterium rhodesiae NBB3	NC_016604.1	710685	Mycobacterium rhodesiae	Mycobacterium rhodesiae NBB3	0	6415739	454|Illumina	Complete
OS155|ATCC BAA-1091	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella baltica	131567|2|1224|1236|135622|267890|22|62322|325240	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Shewanellaceae|Shewanella|Shewanella baltica|Shewanella baltica OS155	NC_009052|NC_009036|NC_009037|NC_009038|NC_009035	325240	Shewanella baltica	Shewanella baltica OS155	4	5342896	Sanger	Complete
OS195	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella baltica	131567|2|1224|1236|135622|267890|22|62322|399599	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Shewanellaceae|Shewanella|Shewanella baltica|Shewanella baltica OS195	NC_009997.1|NC_009999.1|NC_010000.1|NC_009998.1	399599	Shewanella baltica	Shewanella baltica OS195	3	5547544	Sanger	Complete
OS-217|ATCC BAA-1090|DSM 15013	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella denitrificans	131567|2|1224|1236|135622|267890|22|192073|318161	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Shewanellaceae|Shewanella|Shewanella denitrificans|Shewanella denitrificans OS217	NC_007954.1	318161	Shewanella denitrificans	Shewanella denitrificans OS217	0	4545906	Sanger	Complete
MR-4	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella sp. MR-4	131567|2|1224|1236|135622|267890|22|60480	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Shewanellaceae|Shewanella|Shewanella sp. MR-4	NC_008321	60480	Shewanella sp.	Shewanella sp. MR-4	0	4706287	Sanger	Complete
MR-7	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella sp. MR-7	131567|2|1224|1236|135622|267890|22|60481	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Shewanellaceae|Shewanella|Shewanella sp. MR-7	NC_008322.1|NC_008320.1	60481	Shewanella sp.	Shewanella sp. MR-7	1	4799109	Sanger	Complete
WS08	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Weissella ceti	131567|2|1783272|1239|91061|186826|81850|46255|759620	cellular organisms|Bacteria|Terrabacteria group|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae|Weissella|Weissella ceti	NZ_CP007588.1	759620	Weissella ceti	Weissella ceti strain WS08	missing	1355850	Ion Torrent PGM	Complete
FNO12	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella noatunensis	131567|2|1224|1236|72273|34064|262|657445|299583|1390363	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Thiotrichales|Francisellaceae|Francisella|Francisella noatunensis|Francisella noatunensis subsp. orientalis|Francisella noatunensis subsp. orientalis FNO12	NZ_CP011921.1	1390363	Francisella noatunensis	Francisella noatunensis subsp. orientalis FNO12	missing	1859720	Illumina MiSeq	Complete
FNO24	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella noatunensis	131567|2|1224|1236|72273|34064|262|657445|299583|1449091	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Thiotrichales|Francisellaceae|Francisella|Francisella noatunensis|Francisella noatunensis subsp. orientalis|Francisella noatunensis subsp. orientalis FNO24	NZ_CP011922.1	1449091	Francisella noatunensis	Francisella noatunensis subsp. orientalis FNO24	missing	1862322	Ion Torrent PGM	Complete
FNO01	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella noatunensis	131567|2|1224|1236|72273|34064|262|657445|299583	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Thiotrichales|Francisellaceae|Francisella|Francisella noatunensis|Francisella noatunensis subsp. orientalis	NZ_CP012153.1	299583	Francisella noatunensis	Francisella noatunensis subsp. orientalis strain FNO01	missing	1859830	Ion Torrent	Complete
FNO190	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella noatunensis	131567|2|1224|1236|72273|34064|262|657445|299583	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Thiotrichales|Francisellaceae|Francisella|Francisella noatunensis|Francisella noatunensis subsp. orientalis	NZ_CP011923.1	299583	Francisella noatunensis	Francisella noatunensis subsp. orientalis strain FNO190	missing	1859595	Ion Torrent PGM	Complete
ARA6	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	Haloferax gibbonsii	131567|2157|28890|183963|1644055|1644056|2251|35746	cellular organisms|Archaea|Euryarchaeota|Halobacteria|Haloferacales|Haloferacaceae|Haloferax|Haloferax gibbonsii	NZ_CP011947.1|NZ_CP011948.1|NZ_CP011949.1|NZ_CP011950.1|NZ_CP011951.1	35746	Haloferax gibbonsii	Haloferax gibbonsii strain ARA6	4	3918454	Illumina MiSeq	Complete
SB2B|ATCC BAA-1098	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella amazonensis	131567|2|1224|1236|135622|267890|22|60478|326297	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Shewanellaceae|Shewanella|Shewanella amazonensis|Shewanella amazonensis SB2B	NC_008700.1	326297	Shewanella amazonensis	Shewanella amazonensis SB2B	0	4306142	missing	Complete
FPG101	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium psychrophilum	131567|2|1783270|68336|976|117743|200644|49546|237|96345|1452725	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium psychrophilum|Flavobacterium psychrophilum FPG101	NZ_CP007206.1	1452725	Flavobacterium psychrophilum	Flavobacterium psychrophilum FPG101	missing	2835130	Illumina|PacBio RS	Complete
EF1	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	Candidatus Thioglobus autotrophicus	131567|2|1224|1236|118884|1427363|1705394	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|unclassified Gammaproteobacteria|Candidatus Thioglobus|Candidatus Thioglobus sp. EF1	NZ_CP010552.1	1705394	Candidatus Thioglobus	Candidatus Thioglobus sp. EF1	missing	1512449	PacBio RS	Complete
MH1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium psychrophilum	131567|2|1783270|68336|976|117743|200644|49546|237|96345	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium psychrophilum	NZ_CP010275.2	96345	Flavobacterium psychrophilum	Flavobacterium psychrophilum strain MH1	missing	2847805	Illumina HiSeq	Complete
PG-2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium psychrophilum	131567|2|1783270|68336|976|117743|200644|49546|237|96345	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium psychrophilum	NZ_CP010276.2	96345	Flavobacterium psychrophilum	Flavobacterium psychrophilum strain PG2	missing	2850626	Illumina	Complete
VQ50	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium psychrophilum	131567|2|1783270|68336|976|117743|200644|49546|237|96345	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Flavobacterium psychrophilum	NZ_CP010277.2	96345	Flavobacterium psychrophilum	Flavobacterium psychrophilum strain VQ50	missing	2806770	Illumina	Complete
CGR02	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis	131567|2|1224|1236|72273|135616|1237|1238	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Thiotrichales|Piscirickettsiaceae|Piscirickettsia|Piscirickettsia salmonis	NZ_CP013975.1|NZ_CP013976.1|NZ_CP013977.1|NZ_CP013978.1	1238	Piscirickettsia salmonis	Piscirickettsia salmonis strain CGR02	3	3423535	Illumina|PacBio RS	Complete
QH-2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospira	Magnetospira sp. QH-2	131567|2|1224|28211|204441|41295|1182780|1288970	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae|Magnetospira|Magnetospira sp. QH-2	NZ_FO538765.1|NZ_FO538766.1	1288970	Magnetospira	Magnetospira sp. QH-2	1	4052370	454 GS FLX|Illumina	Complete
